Pid      Process              Base       InLoad InInit InMem MappedPath
    1004 svchost.exe          0x4c0a0000 True   True   True  \WINDOWS\system32\wscsvc.dll
    1004 svchost.exe          0x606b0000 True   True   True  \WINDOWS\system32\esent.dll
    1004 svchost.exe          0x77cc0000 True   True   True  \WINDOWS\system32\activeds.dll
    1004 svchost.exe          0x722d0000 True   True   True  \WINDOWS\system32\sens.dll
    1004 svchost.exe          0x7db10000 True   True   True  \WINDOWS\system32\wzcsvc.dll
    1004 svchost.exe          0x77120000 True   True   True  \WINDOWS\system32\oleaut32.dll
    1004 svchost.exe          0x76d40000 True   True   True  \WINDOWS\system32\mprapi.dll
    1004 svchost.exe          0x76f50000 True   True   True  \WINDOWS\system32\wtsapi32.dll
    1004 svchost.exe          0x751a0000 True   True   True  \WINDOWS\system32\srsvc.dll
    1004 svchost.exe          0x723d0000 True   True   True  \WINDOWS\system32\winscard.dll
    1004 svchost.exe          0x597f0000 True   True   True  \WINDOWS\system32\wbem\wmiprvsd.dll
    1004 svchost.exe          0x76b70000 True   True   True  \WINDOWS\system32\rastls.dll
    1004 svchost.exe          0x76bd0000 True   True   True  \WINDOWS\system32\raschap.dll
    1004 svchost.exe          0x76e40000 True   True   True  \WINDOWS\system32\wkssvc.dll
    1004 svchost.exe          0x75070000 True   True   True  \WINDOWS\system32\trkwks.dll
    1004 svchost.exe          0x708b0000 True   True   True  \WINDOWS\system32\audiosrv.dll
    1004 svchost.exe          0x754d0000 True   True   True  \WINDOWS\system32\cryptui.dll
    1004 svchost.exe          0x750f0000 True   True   True  \WINDOWS\system32\mtxclu.dll
    1004 svchost.exe          0x76d10000 True   True   True  \WINDOWS\system32\clusapi.dll
    1004 svchost.exe          0x74f40000 True   True   True  \WINDOWS\pchealth\helpctr\binaries\pchsvc.dll
    1004 svchost.exe          0x76780000 True   True   True  \WINDOWS\system32\shfolder.dll
    1004 svchost.exe          0x76fc0000 True   True   True  \WINDOWS\system32\rasadhlp.dll
    1004 svchost.exe          0x77be0000 True   True   True  \WINDOWS\system32\msacm32.dll
    1004 svchost.exe          0x7c800000 True   True   True  \WINDOWS\system32\kernel32.dll
    1004 svchost.exe          0x76e10000 True   True   True  \WINDOWS\system32\adsldpc.dll
    1004 svchost.exe          0x76f60000 True   True   True  \WINDOWS\system32\wldap32.dll
